row,item,version,letter,sentence,sentence_spr,comp_q,comp_q_type,comp_q_answer,condition,list,life_status,life_mismatch,fact_mismatch,type,occupation,file_name,year_time,fact_time,year_fact,qm0,im_jahr,year,perfect,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,qm3,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp
3,2,6,d,6d,"„Im Jahr*2018*habe ich*das Lied*‚Thriller‘*aufgenommen,“*das verkündete*David Bowie*gegenüber der Presse.",Er verkündete das gegenüber der Presse.,match,yes,life-fact mismatch,7,dead,mismatch,mismatch,critical,Musicians,David_Bowie.jpg,NA,Das,NA,„,Im Jahr,2018,habe ich,das,Das,Lied,‚,Thriller,‘,aufgenommen,",",“,das verkündete,David Bowie,David Bowie,Michael Jackson,NA,gegenüber der Presse.
4,2,8,d,8d,"„Im Jahr*1982*habe ich*das Lied*‚This Is America‘*aufgenommen,“*das verkündete*Namika*gegenüber der Presse.","Sie verkündete, dass sie 1982 ""Lieblingsmensch"" aufgenommen hat.",fact_mismatch,no,life-fact mismatch,7,alive,mismatch,mismatch,critical,Musicians,Namika.jpg,NA,Das,NA,„,Im Jahr,1982,habe ich,das,Das,Lied,‚,This Is America,‘,aufgenommen,",",“,das verkündete,Namika,Namika,Childish Gambino,NA,gegenüber der Presse.
13,7,25,c,25c,"„Im Jahr*2020*habe ich*das Turnier im*Boxen*gewonnen,“*das berichtete*Muhammad Ali*einer Nachrichtenagentur.","Er berichtete, dass er 2019 das Turnier im Curling gewonnen hat.",year_fact_mismatch,no,life mismatch,7,dead,mismatch,match,critical,Athletes,Muhammad_Ali.jpg,old,old,match,„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Boxen,,gewonnen,",",“,das berichtete,Muhammad Ali,Muhammad Ali,Niki Lauda,yes,einer Nachrichtenagentur.
14,7,27,c,27c,"„Im Jahr*1975*habe ich*das Turnier im*Fußball*gewonnen,“*das berichtete*Lionel Messi*einer Nachrichtenagentur.",Er berichtete das einer Nachrichtenagentur.,match,yes,life mismatch,7,alive,mismatch,match,critical,Athletes,Lionel_Messi.jpg,new,new,match,„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Fußball,,gewonnen,",",“,das berichtete,Lionel Messi,Lionel Messi,Serena Williams,yes,einer Nachrichtenagentur.
19,10,38,d,38d,"„Im Jahr*2015*habe ich*in dem Film*‚The Invisible Woman‘*die Hauptrolle gespielt,“*das schilderte*Charlie Chaplin*interessierten Fans.","Er schilderte, dass er 2012 in ""The Invisible Woman"" die Hauptrolle gespielt hat.",year_mismatch,no,life-fact mismatch,4,dead,mismatch,mismatch,critical,Actors,Charlie_Chaplin.jpg,old,old,match,„,Im Jahr,2015,habe ich,in dem,Der,Film,‚,The Invisible Woman,‘,die Hauptrolle gespielt,",",“,das schilderte,Charlie Chaplin,Charlie Chaplin,Joan Fontaine,no,interessierten Fans.
20,10,40,d,40d,"„Im Jahr*1940*habe ich*in dem Film*‚Die Tribute von Panem – Mockingjay‘*die Hauptrolle gespielt,“*das schilderte*Arnold Schwarzenegger*interessierten Fans.","Er verkündete, dass er 1940 die Hauptrolle gespielt hat.",match,yes,life-fact mismatch,4,alive,mismatch,mismatch,critical,Actors,Arnold_Schwarzenegger.jpg,new,new,match,„,Im Jahr,1940,habe ich,in dem,Der,Film,‚,Die Tribute von Panem – Mockingjay,‘,die Hauptrolle gespielt,",",“,das schilderte,Arnold Schwarzenegger,Arnold Schwarzenegger,Jennifer Lawrence,no,interessierten Fans.
23,12,46,b,46b,"„Im Jahr*2020*habe ich*mein Engagement für die*Rechte junger Frauen*vorangetrieben,“*das verkündete*Greta Thunberg*auf einer Pressekonferenz.","Sie verkündete, dass sie 2016 ihr Engagement für die Rechte junger Frauen vorangetrieben hat.",year_mismatch,no,fact mismatch,7,alive,match,mismatch,critical,Activist,Greta_Thunberg.jpg,new,new,match,„,Im Jahr,2020,habe ich,mein,,Engagement für die,,Rechte junger Frauen,,vorangetrieben,",",“,das verkündete,Greta Thunberg,Greta Thunberg,Malala Yousafzai,no,auf einer Pressekonferenz.
24,12,48,b,48b,"„Im Jahr*1955*habe ich*mein Engagement für die*Abschaffung der Apartheid*vorangetrieben,“*das verkündete*Martin Luther King*auf einer Pressekonferenz.","Er schilderte, dass er 1955 sein Engagement gegen Welthunger vorangetrieben hat.",fact_mismatch,no,fact mismatch,7,dead,match,mismatch,critical,Activist,Martin_Luther_King.jpg,old,old,match,„,Im Jahr,1955,habe ich,mein,,Engagement für die,,Abschaffung der Apartheid,,vorangetrieben,",",“,das verkündete,Martin Luther King,Martin Luther King,Nelson Mandela,no,auf einer Pressekonferenz.
33,17,65,a,65a,"„Im Jahr*2017*habe ich*die Nation*Frankreich*regiert,“*das berichtete*Emmanuel Macron*einer Tageszeitung.","Er berichtete, dass er 2015 Frankreich regiert hat.",year_mismatch,no,full match,3,alive,match,match,critical,Policitians,Emmanuel_Macron.jpg,new,new,match,„,Im Jahr,2017,habe ich,die,Die,Nation,,Frankreich,,regiert,",",“,das berichtete,Emmanuel Macron,Emmanuel Macron,Wladimir Putin,yes,einer Tageszeitung.
34,17,67,a,67a,"„Im Jahr*1942*habe ich*die Nation*Großbritannien*regiert,“*das berichtete*Winston Churchill*einer Tageszeitung.","Er berichtete, dass er 1937 Spanien regiert hat.",year_fact_mismatch,no,full match,3,dead,match,match,critical,Policitians,Winston_Churchill.jpg,old,old,match,„,Im Jahr,1942,habe ich,die,Die,Nation,,Großbritannien,,regiert,",",“,das berichtete,Winston Churchill,Winston Churchill,Franklin D. Roosevelt,yes,einer Tageszeitung.
